,,Fraction of people suffering from severe anemia
SC Butibori New,May-2015,0.0
SC Butibori New,Jun-2015,0.0
SC Butibori New,Jul-2015,0.0
SC Butibori New,Aug-2015,0.0
SC Butibori New,Sep-2015,0.0
SC Butibori New,Oct-2015,0.0
SC Butibori New,Nov-2015,0.0
SC Butibori New,Dec-2015,0.0
SC Butibori New,Jan-2016,0.0
SC Butibori New,Feb-2016,0.0
SC Butibori New,Mar-2016,0.0
SC Butibori New,Total,0.0
SC Butibori old,Apr-2015,0.0
SC Butibori old,May-2015,0.0
SC Butibori old,Jun-2015,0.0
SC Butibori old,Jul-2015,0.0
SC Butibori old,Aug-2015,0.0
SC Butibori old,Sep-2015,0.0
SC Butibori old,Oct-2015,0.0
SC Butibori old,Nov-2015,0.0
SC Butibori old,Dec-2015,0.0
SC Butibori old,Jan-2016,0.0
SC Butibori old,Feb-2016,0.0
SC Butibori old,Mar-2016,0.0
SC Butibori old,Total,0.0
SC COLMINCE,Apr-2015,0.0
SC COLMINCE,May-2015,0.0
SC COLMINCE,Jun-2015,0.0
SC COLMINCE,Jul-2015,0.0
SC COLMINCE,Aug-2015,0.0
SC COLMINCE,Sep-2015,0.0
SC COLMINCE,Oct-2015,0.0
SC COLMINCE,Nov-2015,0.0
SC COLMINCE,Dec-2015,0.0
SC COLMINCE,Jan-2016,0.0
SC COLMINCE,Feb-2016,0.0
SC COLMINCE,Mar-2016,0.0
SC COLMINCE,Total,0.0
SC Chacher,Apr-2015,0.0
SC Chacher,May-2015,0.0
SC Chacher,Jun-2015,0.0
SC Chacher,Jul-2015,0.0
SC Chacher,Aug-2015,0.0
SC Chacher,Sep-2015,0.0
SC Chacher,Oct-2015,0.0
SC Chacher,Nov-2015,0.0
SC Chacher,Dec-2015,0.0
SC Chacher,Jan-2016,0.0
SC Chacher,Feb-2016,0.0
SC Chacher,Mar-2016,0.0
SC Chacher,Total,0.0
SC Champa,Apr-2015,0.0
SC Champa,May-2015,0.0
SC Champa,Jun-2015,0.0
