,,Fraction of pregnant women registered under JSY
SC Bamhani,Oct-2015,0.5
SC Bamhani,Nov-2015,0.5
SC Bamhani,Dec-2015,0.5
SC Bamhani,Jan-2016,0.0
SC Bamhani,Feb-2016,0.08333333333333333
SC Bamhani,Mar-2016,0.5
SC Bamhani,Total,0.2641509433962264
SC Bandra,Apr-2015,1.0
SC Bandra,May-2015,1.0
SC Bandra,Jun-2015,1.0
SC Bandra,Jul-2015,0.8
SC Bandra,Aug-2015,1.0
SC Bandra,Sep-2015,1.0
SC Bandra,Oct-2015,1.0
SC Bandra,Nov-2015,1.0
SC Bandra,Dec-2015,1.0
SC Bandra,Jan-2016,1.0
SC Bandra,Feb-2016,1.0
SC Bandra,Mar-2016,1.0
SC Bandra,Total,0.9787234042553191
SC Bela,Apr-2015,0.0
SC Bela,May-2015,0.3333333333333333
SC Bela,Jun-2015,0.5
SC Bela,Jul-2015,0.0
SC Bela,Aug-2015,0.5
SC Bela,Sep-2015,0.6666666666666666
SC Bela,Oct-2015,0.25
SC Bela,Nov-2015,0.0
SC Bela,Dec-2015,0.16666666666666666
SC Bela,Jan-2016,0.25
SC Bela,Feb-2016,0.25
SC Bela,Mar-2016,0.0
SC Bela,Total,0.2631578947368421
SC Belda,Apr-2015,1.0
SC Belda,May-2015,0.8
SC Belda,Jun-2015,0.75
SC Belda,Jul-2015,1.0
SC Belda,Aug-2015,1.0
SC Belda,Sep-2015,1.0
SC Belda,Oct-2015,1.0
SC Belda,Nov-2015,1.0
SC Belda,Dec-2015,0.875
SC Belda,Jan-2016,1.0
SC Belda,Feb-2016,0.6666666666666666
SC Belda,Mar-2016,1.0
SC Belda,Total,0.9019607843137255
SC Belona,Apr-2015,0.6666666666666666
SC Belona,May-2015,0.8571428571428571
SC Belona,Jun-2015,0.5384615384615384
SC Belona,Jul-2015,0.5333333333333333
SC Belona,Aug-2015,1.0
SC Belona,Sep-2015,0.3
SC Belona,Oct-2015,1.0
SC Belona,Nov-2015,1.0
SC Belona,Dec-2015,0.5
SC Belona,Jan-2016,0.5
SC Belona,Feb-2016,0.5714285714285714
SC Belona,Mar-2016,1.0
SC Belona,Total,0.664
SC Bhamewada,Apr-2015,0.2857142857142857
SC Bhamewada,May-2015,0.75
SC Bhamewada,Jun-2015,0.2
SC Bhamewada,Jul-2015,0.25
SC Bhamewada,Aug-2015,0.0
SC Bhamewada,Sep-2015,0.5
SC Bhamewada,Oct-2015,0.0
SC Bhamewada,Nov-2015,0.6
SC Bhamewada,Dec-2015,0.3333333333333333
SC Bhamewada,Jan-2016,0.0
SC Bhamewada,Feb-2016,0.0
SC Bhamewada,Mar-2016,0.25
SC Bhamewada,Total,0.29411764705882354
SC Bhandarbodi,Apr-2015,0.4
SC Bhandarbodi,May-2015,0.6666666666666666
