,,Fraction of pregnant women registered within 1st trimester
SC Asola Takalghat,Sep-2015,1.0
SC Asola Takalghat,Oct-2015,0.8
SC Asola Takalghat,Nov-2015,0.875
SC Asola Takalghat,Dec-2015,0.5
SC Asola Takalghat,Jan-2016,0.6666666666666666
SC Asola Takalghat,Feb-2016,1.0
SC Asola Takalghat,Mar-2016,0.3333333333333333
SC Asola Takalghat,Total,0.7704918032786885
SC Avandhi Gunthala,Apr-2015,1.0
SC Avandhi Gunthala,May-2015,0.7777777777777778
SC Avandhi Gunthala,Jun-2015,1.0
SC Avandhi Gunthala,Jul-2015,0.7
SC Avandhi Gunthala,Aug-2015,1.0
SC Avandhi Gunthala,Sep-2015,1.0
SC Avandhi Gunthala,Oct-2015,1.0
SC Avandhi Gunthala,Nov-2015,1.0
SC Avandhi Gunthala,Dec-2015,1.0
SC Avandhi Gunthala,Jan-2016,1.0
SC Avandhi Gunthala,Feb-2016,0.7142857142857143
SC Avandhi Gunthala,Mar-2016,1.0
SC Avandhi Gunthala,Total,0.9102564102564102
SC BESUR,Apr-2015,0.8333333333333334
SC BESUR,May-2015,0.2727272727272727
SC BESUR,Jun-2015,0.6666666666666666
SC BESUR,Jul-2015,0.75
SC BESUR,Aug-2015,1.0
SC BESUR,Sep-2015,0.9230769230769231
SC BESUR,Oct-2015,1.0
SC BESUR,Nov-2015,0.8
SC BESUR,Dec-2015,0.75
SC BESUR,Jan-2016,0.5
SC BESUR,Feb-2016,0.42857142857142855
SC BESUR,Mar-2016,0.6153846153846154
SC BESUR,Total,0.686046511627907
SC BHAGVANPUR,Apr-2015,0.0
SC BHAGVANPUR,May-2015,1.0
SC BHAGVANPUR,Jun-2015,
SC BHAGVANPUR,Jul-2015,1.0
SC BHAGVANPUR,Aug-2015,1.0
SC BHAGVANPUR,Sep-2015,1.0
SC BHAGVANPUR,Oct-2015,1.0
SC BHAGVANPUR,Nov-2015,1.0
SC BHAGVANPUR,Dec-2015,1.0
SC BHAGVANPUR,Jan-2016,1.0
SC BHAGVANPUR,Feb-2016,1.0
SC BHAGVANPUR,Mar-2016,1.0
SC BHAGVANPUR,Total,0.96
SC Babdev,Apr-2015,1.0
SC Babdev,May-2015,1.0
