,,Fraction of newborns having weight less than 2.5 kg
SC Bhishnur Jalalkheda,Mar-2016,0.0
SC Bhishnur Jalalkheda,Total,0.2
SC Bhiwapur,Apr-2015,
SC Bhiwapur,May-2015,
SC Bhiwapur,Jun-2015,
SC Bhiwapur,Jul-2015,
SC Bhiwapur,Aug-2015,
SC Bhiwapur,Sep-2015,
SC Bhiwapur,Oct-2015,
SC Bhiwapur,Nov-2015,
SC Bhiwapur,Dec-2015,
SC Bhiwapur,Jan-2016,
SC Bhiwapur,Feb-2016,
SC Bhiwapur,Mar-2016,
SC Bhiwapur,Total,
SC Bhorgad,Apr-2015,1.0
SC Bhorgad,May-2015,
SC Bhorgad,Jun-2015,
SC Bhorgad,Jul-2015,
SC Bhorgad,Aug-2015,
SC Bhorgad,Sep-2015,0.0
SC Bhorgad,Oct-2015,0.0
SC Bhorgad,Nov-2015,
SC Bhorgad,Dec-2015,0.0
SC Bhorgad,Jan-2016,0.0
SC Bhorgad,Feb-2016,0.0
SC Bhorgad,Mar-2016,
SC Bhorgad,Total,0.1111111111111111
SC Bhugaon,Apr-2015,
SC Bhugaon,May-2015,0.0
SC Bhugaon,Jun-2015,0.0
SC Bhugaon,Jul-2015,0.0
SC Bhugaon,Aug-2015,
SC Bhugaon,Sep-2015,0.0
SC Bhugaon,Oct-2015,0.0
SC Bhugaon,Nov-2015,
SC Bhugaon,Dec-2015,0.5
SC Bhugaon,Jan-2016,
SC Bhugaon,Feb-2016,
SC Bhugaon,Mar-2016,0.0
SC Bhugaon,Total,0.05263157894736842
SC Bina,Apr-2015,
SC Bina,May-2015,
SC Bina,Jun-2015,0.0
SC Bina,Jul-2015,
SC Bina,Aug-2015,
SC Bina,Sep-2015,
SC Bina,Oct-2015,
SC Bina,Nov-2015,0.0
SC Bina,Dec-2015,0.0
SC Bina,Jan-2016,
SC Bina,Feb-2016,
SC Bina,Mar-2016,0.0
SC Bina,Total,0.0
SC Bondri,Apr-2015,
SC Bondri,May-2015,0.0
SC Bondri,Jun-2015,
SC Bondri,Jul-2015,
SC Bondri,Aug-2015,
SC Bondri,Sep-2015,
SC Bondri,Oct-2015,
SC Bondri,Nov-2015,0.0
SC Bondri,Dec-2015,
SC Bondri,Jan-2016,
SC Bondri,Feb-2016,
SC Bondri,Mar-2016,
SC Bondri,Total,0.0
SC Borda Mansar,Apr-2015,
SC Borda Mansar,May-2015,
SC Borda Mansar,Jun-2015,
SC Borda Mansar,Jul-2015,
SC Borda Mansar,Aug-2015,
SC Borda Mansar,Sep-2015,
SC Borda Mansar,Oct-2015,
SC Borda Mansar,Nov-2015,
SC Borda Mansar,Dec-2015,
SC Borda Mansar,Jan-2016,
SC Borda Mansar,Feb-2016,0.0
SC Borda Mansar,Mar-2016,0.0
SC Borda Mansar,Total,0.0
SC Bordoha,Apr-2015,0.0
SC Bordoha,May-2015,
SC Bordoha,Jun-2015,0.0
SC Bordoha,Jul-2015,
SC Bordoha,Aug-2015,
SC Bordoha,Sep-2015,0.5
SC Bordoha,Oct-2015,0.0
SC Bordoha,Nov-2015,
SC Bordoha,Dec-2015,0.0
SC Bordoha,Jan-2016,
SC Bordoha,Feb-2016,
SC Bordoha,Mar-2016,
SC Bordoha,Total,0.16666666666666666
SC Borgaon Dhapewada,Apr-2015,
SC Borgaon Dhapewada,May-2015,
SC Borgaon Dhapewada,Jun-2015,
SC Borgaon Dhapewada,Jul-2015,
SC Borgaon Dhapewada,Aug-2015,
SC Borgaon Dhapewada,Sep-2015,
SC Borgaon Dhapewada,Oct-2015,
SC Borgaon Dhapewada,Nov-2015,
SC Borgaon Dhapewada,Dec-2015,
SC Borgaon Dhapewada,Jan-2016,0.0
SC Borgaon Dhapewada,Feb-2016,
