,,Fraction of people suffering from malaria caused by Plasmodium Falciparum
SC Masala,Jul-2015,
SC Masala,Aug-2015,
SC Masala,Sep-2015,
SC Masala,Oct-2015,
SC Masala,Nov-2015,
SC Masala,Dec-2015,
SC Masala,Jan-2016,
SC Masala,Feb-2016,
SC Masala,Mar-2016,
SC Masala,Total,
SC Masod Kondhali,Apr-2015,
SC Masod Kondhali,May-2015,
SC Masod Kondhali,Jun-2015,
SC Masod Kondhali,Jul-2015,
SC Masod Kondhali,Aug-2015,
SC Masod Kondhali,Sep-2015,
SC Masod Kondhali,Oct-2015,
SC Masod Kondhali,Nov-2015,
SC Masod Kondhali,Dec-2015,
SC Masod Kondhali,Jan-2016,
SC Masod Kondhali,Feb-2016,
SC Masod Kondhali,Mar-2016,
SC Masod Kondhali,Total,
SC Mathani,Apr-2015,
SC Mathani,May-2015,
SC Mathani,Jun-2015,
SC Mathani,Jul-2015,
SC Mathani,Aug-2015,
SC Mathani,Sep-2015,
SC Mathani,Oct-2015,
SC Mathani,Nov-2015,
SC Mathani,Dec-2015,
SC Mathani,Jan-2016,
SC Mathani,Feb-2016,
SC Mathani,Mar-2016,
SC Mathani,Total,
SC Mendhepathar,Apr-2015,
SC Mendhepathar,May-2015,
SC Mendhepathar,Jun-2015,
SC Mendhepathar,Jul-2015,
SC Mendhepathar,Aug-2015,
SC Mendhepathar,Sep-2015,
SC Mendhepathar,Oct-2015,
SC Mendhepathar,Nov-2015,
SC Mendhepathar,Dec-2015,
SC Mendhepathar,Jan-2016,
SC Mendhepathar,Feb-2016,
SC Mendhepathar,Mar-2016,
SC Mendhepathar,Total,
SC Mendki,Apr-2015,
SC Mendki,May-2015,
SC Mendki,Jun-2015,
SC Mendki,Jul-2015,
SC Mendki,Aug-2015,
SC Mendki,Sep-2015,
SC Mendki,Oct-2015,
SC Mendki,Nov-2015,
SC Mendki,Dec-2015,
SC Mendki,Jan-2016,
SC Mendki,Feb-2016,
SC Mendki,Mar-2016,
SC Mendki,Total,
SC Mohgaon,Apr-2015,
SC Mohgaon,May-2015,
SC Mohgaon,Jun-2015,
SC Mohgaon,Jul-2015,
SC Mohgaon,Aug-2015,
SC Mohgaon,Sep-2015,
SC Mohgaon,Oct-2015,
SC Mohgaon,Nov-2015,
SC Mohgaon,Dec-2015,
SC Mohgaon,Jan-2016,
SC Mohgaon,Feb-2016,
SC Mohgaon,Mar-2016,
SC Mohgaon,Total,
SC Mohpa,Apr-2015,
SC Mohpa,May-2015,
SC Mohpa,Jun-2015,
SC Mohpa,Jul-2015,
SC Mohpa,Aug-2015,
SC Mohpa,Sep-2015,
SC Mohpa,Oct-2015,
SC Mohpa,Nov-2015,
SC Mohpa,Dec-2015,
SC Mohpa,Jan-2016,
SC Mohpa,Feb-2016,
SC Mohpa,Mar-2016,
SC Mohpa,Total,
SC Mondha,Apr-2015,
SC Mondha,May-2015,
SC Mondha,Jun-2015,
SC Mondha,Jul-2015,
SC Mondha,Aug-2015,
SC Mondha,Sep-2015,
SC Mondha,Oct-2015,
SC Mondha,Nov-2015,
SC Mondha,Dec-2015,
SC Mondha,Jan-2016,
SC Mondha,Feb-2016,
SC Mondha,Mar-2016,
SC Mondha,Total,
SC Mouda,Apr-2015,
SC Mouda,May-2015,
SC Mouda,Jun-2015,
SC Mouda,Jul-2015,
SC Mouda,Aug-2015,
SC Mouda,Sep-2015,
SC Mouda,Oct-2015,
SC Mouda,Nov-2015,
SC Mouda,Dec-2015,
SC Mouda,Jan-2016,
SC Mouda,Feb-2016,
SC Mouda,Mar-2016,
SC Mouda,Total,
SC Mowad,Apr-2015,
SC Mowad,May-2015,
SC Mowad,Jun-2015,
SC Mowad,Jul-2015,
SC Mowad,Aug-2015,
SC Mowad,Sep-2015,
SC Mowad,Oct-2015,
SC Mowad,Nov-2015,
SC Mowad,Dec-2015,
SC Mowad,Jan-2016,
SC Mowad,Feb-2016,
SC Mowad,Mar-2016,
SC Mowad,Total,
SC Murti,Apr-2015,
SC Murti,May-2015,
SC Murti,Jun-2015,
SC Murti,Jul-2015,
SC Murti,Aug-2015,
SC Murti,Sep-2015,
SC Murti,Oct-2015,
SC Murti,Nov-2015,
SC Murti,Dec-2015,
SC Murti,Jan-2016,
SC Murti,Feb-2016,
SC Murti,Mar-2016,
SC Murti,Total,
SC Musalgaon,Apr-2015,
SC Musalgaon,May-2015,
SC Musalgaon,Jun-2015,
SC Musalgaon,Jul-2015,
SC Musalgaon,Aug-2015,
SC Musalgaon,Sep-2015,
SC Musalgaon,Oct-2015,
SC Musalgaon,Nov-2015,
SC Musalgaon,Dec-2015,
SC Musalgaon,Jan-2016,
SC Musalgaon,Feb-2016,
SC Musalgaon,Mar-2016,
SC Musalgaon,Total,
SC Musewadi,Apr-2015,
SC Musewadi,May-2015,
SC Musewadi,Jun-2015,
SC Musewadi,Jul-2015,
SC Musewadi,Aug-2015,
SC Musewadi,Sep-2015,
SC Musewadi,Oct-2015,
SC Musewadi,Nov-2015,
SC Musewadi,Dec-2015,
SC Musewadi,Jan-2016,
SC Musewadi,Feb-2016,
SC Musewadi,Mar-2016,
SC Musewadi,Total,
SC NAND,Apr-2015,
SC NAND,May-2015,
SC NAND,Jun-2015,
SC NAND,Jul-2015,
SC NAND,Aug-2015,
SC NAND,Sep-2015,
SC NAND,Oct-2015,
SC NAND,Nov-2015,
SC NAND,Dec-2015,
SC NAND,Jan-2016,
SC NAND,Feb-2016,
SC NAND,Mar-2016,
SC NAND,Total,
SC NARHAR,Apr-2015,
SC NARHAR,May-2015,
SC NARHAR,Jun-2015,
SC NARHAR,Jul-2015,
SC NARHAR,Aug-2015,
SC NARHAR,Sep-2015,
SC NARHAR,Oct-2015,
SC NARHAR,Nov-2015,
SC NARHAR,Dec-2015,
SC NARHAR,Jan-2016,
SC NARHAR,Feb-2016,
SC NARHAR,Mar-2016,
SC NARHAR,Total,
SC NAXI,Apr-2015,
SC NAXI,May-2015,
SC NAXI,Jun-2015,
SC NAXI,Jul-2015,
SC NAXI,Aug-2015,
SC NAXI,Sep-2015,
SC NAXI,Oct-2015,
SC NAXI,Nov-2015,
SC NAXI,Dec-2015,
SC NAXI,Jan-2016,
SC NAXI,Feb-2016,
SC NAXI,Mar-2016,
SC NAXI,Total,
SC NIMKHEDA,Apr-2015,
SC NIMKHEDA,May-2015,
SC NIMKHEDA,Jun-2015,
SC NIMKHEDA,Jul-2015,
SC NIMKHEDA,Aug-2015,
SC NIMKHEDA,Sep-2015,
SC NIMKHEDA,Oct-2015,
SC NIMKHEDA,Nov-2015,
SC NIMKHEDA,Dec-2015,
SC NIMKHEDA,Jan-2016,
SC NIMKHEDA,Feb-2016,
SC NIMKHEDA,Mar-2016,
SC NIMKHEDA,Total,
SC Nagalwadi,Apr-2015,
SC Nagalwadi,May-2015,
SC Nagalwadi,Jun-2015,
SC Nagalwadi,Jul-2015,
SC Nagalwadi,Aug-2015,
SC Nagalwadi,Sep-2015,
SC Nagalwadi,Oct-2015,
SC Nagalwadi,Nov-2015,
SC Nagalwadi,Dec-2015,
SC Nagalwadi,Jan-2016,
SC Nagalwadi,Feb-2016,
SC Nagalwadi,Mar-2016,
SC Nagalwadi,Total,
SC Nagardhan,Apr-2015,
SC Nagardhan,May-2015,
SC Nagardhan,Jun-2015,
SC Nagardhan,Jul-2015,
SC Nagardhan,Aug-2015,
SC Nagardhan,Sep-2015,
SC Nagardhan,Oct-2015,
SC Nagardhan,Nov-2015,
SC Nagardhan,Dec-2015,
SC Nagardhan,Jan-2016,
SC Nagardhan,Feb-2016,
SC Nagardhan,Mar-2016,
SC Nagardhan,Total,
SC Nanda Gomukh,Apr-2015,
SC Nanda Gomukh,May-2015,
SC Nanda Gomukh,Jun-2015,
SC Nanda Gomukh,Jul-2015,
SC Nanda Gomukh,Aug-2015,
SC Nanda Gomukh,Sep-2015,
SC Nanda Gomukh,Oct-2015,
SC Nanda Gomukh,Nov-2015,
SC Nanda Gomukh,Dec-2015,
SC Nanda Gomukh,Jan-2016,
SC Nanda Gomukh,Feb-2016,
SC Nanda Gomukh,Mar-2016,
SC Nanda Gomukh,Total,
SC Navegaon,Apr-2015,
SC Navegaon,May-2015,
SC Navegaon,Jun-2015,
SC Navegaon,Jul-2015,
SC Navegaon,Aug-2015,
SC Navegaon,Sep-2015,
SC Navegaon,Oct-2015,
SC Navegaon,Nov-2015,
SC Navegaon,Dec-2015,
SC Navegaon,Jan-2016,
SC Navegaon,Feb-2016,
SC Navegaon,Mar-2016,
SC Navegaon,Total,
SC Navegaonkhairi,Apr-2015,
SC Navegaonkhairi,May-2015,
SC Navegaonkhairi,Jun-2015,
SC Navegaonkhairi,Jul-2015,
SC Navegaonkhairi,Aug-2015,
SC Navegaonkhairi,Sep-2015,
SC Navegaonkhairi,Oct-2015,
SC Navegaonkhairi,Nov-2015,
SC Navegaonkhairi,Dec-2015,
SC Navegaonkhairi,Jan-2016,
SC Navegaonkhairi,Feb-2016,
SC Navegaonkhairi,Mar-2016,
SC Navegaonkhairi,Total,
SC Neri Vyhad,Apr-2015,
SC Neri Vyhad,May-2015,
SC Neri Vyhad,Jun-2015,
SC Neri Vyhad,Jul-2015,
SC Neri Vyhad,Aug-2015,
SC Neri Vyhad,Sep-2015,
SC Neri Vyhad,Oct-2015,
SC Neri Vyhad,Nov-2015,
SC Neri Vyhad,Dec-2015,
SC Neri Vyhad,Jan-2016,
SC Neri Vyhad,Feb-2016,
SC Neri Vyhad,Mar-2016,
SC Neri Vyhad,Total,
SC Niharwani,Apr-2015,
SC Niharwani,May-2015,
SC Niharwani,Jun-2015,
SC Niharwani,Jul-2015,
SC Niharwani,Aug-2015,
SC Niharwani,Sep-2015,
SC Niharwani,Oct-2015,
SC Niharwani,Nov-2015,
SC Niharwani,Dec-2015,
SC Niharwani,Jan-2016,
SC Niharwani,Feb-2016,
SC Niharwani,Mar-2016,
SC Niharwani,Total,
SC Nildoh,Apr-2015,
SC Nildoh,May-2015,
SC Nildoh,Jun-2015,
SC Nildoh,Jul-2015,
SC Nildoh,Aug-2015,
SC Nildoh,Sep-2015,
SC Nildoh,Oct-2015,
SC Nildoh,Nov-2015,
SC Nildoh,Dec-2015,
SC Nildoh,Jan-2016,
SC Nildoh,Feb-2016,
SC Nildoh,Mar-2016,
SC Nildoh,Total,
SC Nimkheda Tarasa,Apr-2015,
SC Nimkheda Tarasa,May-2015,
SC Nimkheda Tarasa,Jun-2015,
SC Nimkheda Tarasa,Jul-2015,
SC Nimkheda Tarasa,Aug-2015,
SC Nimkheda Tarasa,Sep-2015,
SC Nimkheda Tarasa,Oct-2015,
SC Nimkheda Tarasa,Nov-2015,
SC Nimkheda Tarasa,Dec-2015,
SC Nimkheda Tarasa,Jan-2016,
SC Nimkheda Tarasa,Feb-2016,
SC Nimkheda Tarasa,Mar-2016,
SC Nimkheda Tarasa,Total,
SC Nishanghat,Apr-2015,
SC Nishanghat,May-2015,
SC Nishanghat,Jun-2015,
SC Nishanghat,Jul-2015,
SC Nishanghat,Aug-2015,
SC Nishanghat,Sep-2015,
SC Nishanghat,Oct-2015,
SC Nishanghat,Nov-2015,
SC Nishanghat,Dec-2015,
SC Nishanghat,Jan-2016,
SC Nishanghat,Feb-2016,
SC Nishanghat,Mar-2016,
SC Nishanghat,Total,
SC PALORA,Apr-2015,
SC PALORA,May-2015,
SC PALORA,Jun-2015,
SC PALORA,Jul-2015,
SC PALORA,Aug-2015,
SC PALORA,Sep-2015,
SC PALORA,Oct-2015,
SC PALORA,Nov-2015,
SC PALORA,Dec-2015,
SC PALORA,Jan-2016,
SC PALORA,Feb-2016,
SC PALORA,Mar-2016,
SC PALORA,Total,
SC PIMPLA KEVALRAM,Apr-2015,
SC PIMPLA KEVALRAM,May-2015,
SC PIMPLA KEVALRAM,Jun-2015,
SC PIMPLA KEVALRAM,Jul-2015,
SC PIMPLA KEVALRAM,Aug-2015,
SC PIMPLA KEVALRAM,Sep-2015,
SC PIMPLA KEVALRAM,Oct-2015,
SC PIMPLA KEVALRAM,Nov-2015,
SC PIMPLA KEVALRAM,Dec-2015,
SC PIMPLA KEVALRAM,Jan-2016,
SC PIMPLA KEVALRAM,Feb-2016,
SC PIMPLA KEVALRAM,Mar-2016,
SC PIMPLA KEVALRAM,Total,
SC PITHORI,Apr-2015,
SC PITHORI,May-2015,
SC PITHORI,Jun-2015,
SC PITHORI,Jul-2015,
SC PITHORI,Aug-2015,
SC PITHORI,Sep-2015,
SC PITHORI,Oct-2015,
SC PITHORI,Nov-2015,
SC PITHORI,Dec-2015,
SC PITHORI,Jan-2016,
SC PITHORI,Feb-2016,
SC PITHORI,Mar-2016,
SC PITHORI,Total,
SC PULLAR,Apr-2015,
SC PULLAR,May-2015,
SC PULLAR,Jun-2015,
SC PULLAR,Jul-2015,
SC PULLAR,Aug-2015,
SC PULLAR,Sep-2015,
SC PULLAR,Oct-2015,
SC PULLAR,Nov-2015,
SC PULLAR,Dec-2015,
SC PULLAR,Jan-2016,
SC PULLAR,Feb-2016,
SC PULLAR,Mar-2016,
SC PULLAR,Total,
SC Pachakhedi,Apr-2015,
SC Pachakhedi,May-2015,
SC Pachakhedi,Jun-2015,
SC Pachakhedi,Jul-2015,
SC Pachakhedi,Aug-2015,
SC Pachakhedi,Sep-2015,
SC Pachakhedi,Oct-2015,
SC Pachakhedi,Nov-2015,
SC Pachakhedi,Dec-2015,
SC Pachakhedi,Jan-2016,
SC Pachakhedi,Feb-2016,
SC Pachakhedi,Mar-2016,
SC Pachakhedi,Total,
SC Pachgaon,Apr-2015,
SC Pachgaon,May-2015,
SC Pachgaon,Jun-2015,
SC Pachgaon,Jul-2015,
SC Pachgaon,Aug-2015,
SC Pachgaon,Sep-2015,
SC Pachgaon,Oct-2015,
SC Pachgaon,Nov-2015,
SC Pachgaon,Dec-2015,
SC Pachgaon,Jan-2016,
SC Pachgaon,Feb-2016,
SC Pachgaon,Mar-2016,
SC Pachgaon,Total,
SC Palsad,Apr-2015,
SC Palsad,May-2015,
SC Palsad,Jun-2015,
SC Palsad,Jul-2015,
SC Palsad,Aug-2015,
SC Palsad,Sep-2015,
SC Palsad,Oct-2015,
SC Palsad,Nov-2015,
SC Palsad,Dec-2015,
SC Palsad,Jan-2016,
SC Palsad,Feb-2016,
SC Palsad,Mar-2016,
SC Palsad,Total,
SC Palsawali,Apr-2015,
SC Palsawali,May-2015,
SC Palsawali,Jun-2015,
SC Palsawali,Jul-2015,
SC Palsawali,Aug-2015,
SC Palsawali,Sep-2015,
SC Palsawali,Oct-2015,
SC Palsawali,Nov-2015,
SC Palsawali,Dec-2015,
SC Palsawali,Jan-2016,
SC Palsawali,Feb-2016,
SC Palsawali,Mar-2016,
SC Palsawali,Total,
SC Panjara,Apr-2015,
SC Panjara,May-2015,
SC Panjara,Jun-2015,
SC Panjara,Jul-2015,
SC Panjara,Aug-2015,
SC Panjara,Sep-2015,
SC Panjara,Oct-2015,
SC Panjara,Nov-2015,
SC Panjara,Dec-2015,
SC Panjara,Jan-2016,
SC Panjara,Feb-2016,
SC Panjara,Mar-2016,
SC Panjara,Total,
SC Pardi Mohapa,Apr-2015,
SC Pardi Mohapa,May-2015,
SC Pardi Mohapa,Jun-2015,
SC Pardi Mohapa,Jul-2015,
SC Pardi Mohapa,Aug-2015,
SC Pardi Mohapa,Sep-2015,
SC Pardi Mohapa,Oct-2015,
SC Pardi Mohapa,Nov-2015,
SC Pardi Mohapa,Dec-2015,
SC Pardi Mohapa,Jan-2016,
SC Pardi Mohapa,Feb-2016,
SC Pardi Mohapa,Mar-2016,
SC Pardi Mohapa,Total,
SC Parshivani,Apr-2015,
SC Parshivani,May-2015,
SC Parshivani,Jun-2015,
SC Parshivani,Jul-2015,
SC Parshivani,Aug-2015,
SC Parshivani,Sep-2015,
SC Parshivani,Oct-2015,
SC Parshivani,Nov-2015,
SC Parshivani,Dec-2015,
SC Parshivani,Jan-2016,
SC Parshivani,Feb-2016,
SC Parshivani,Mar-2016,
SC Parshivani,Total,
SC Parsodi Mohapa,Apr-2015,
SC Parsodi Mohapa,May-2015,
SC Parsodi Mohapa,Jun-2015,
SC Parsodi Mohapa,Jul-2015,
SC Parsodi Mohapa,Aug-2015,
SC Parsodi Mohapa,Sep-2015,
SC Parsodi Mohapa,Oct-2015,
SC Parsodi Mohapa,Nov-2015,
SC Parsodi Mohapa,Dec-2015,
SC Parsodi Mohapa,Jan-2016,
SC Parsodi Mohapa,Feb-2016,
SC Parsodi Mohapa,Mar-2016,
SC Parsodi Mohapa,Total,
SC Patansaongi,Apr-2015,
SC Patansaongi,May-2015,
SC Patansaongi,Jun-2015,
SC Patansaongi,Jul-2015,
SC Patansaongi,Aug-2015,
SC Patansaongi,Sep-2015,
SC Patansaongi,Oct-2015,
SC Patansaongi,Nov-2015,
SC Patansaongi,Dec-2015,
SC Patansaongi,Jan-2016,
SC Patansaongi,Feb-2016,
SC Patansaongi,Mar-2016,
SC Patansaongi,Total,
SC Patgovari,Apr-2015,
SC Patgovari,May-2015,
SC Patgovari,Jun-2015,
SC Patgovari,Jul-2015,
SC Patgovari,Aug-2015,
SC Patgovari,Sep-2015,
SC Patgovari,Oct-2015,
SC Patgovari,Nov-2015,
SC Patgovari,Dec-2015,
SC Patgovari,Jan-2016,
SC Patgovari,Feb-2016,
SC Patgovari,Mar-2016,
SC Patgovari,Total,
SC Pathrai,Apr-2015,
SC Pathrai,May-2015,
SC Pathrai,Jun-2015,
SC Pathrai,Jul-2015,
SC Pathrai,Aug-2015,
SC Pathrai,Sep-2015,
SC Pathrai,Oct-2015,
SC Pathrai,Nov-2015,
SC Pathrai,Dec-2015,
SC Pathrai,Jan-2016,
SC Pathrai,Feb-2016,
SC Pathrai,Mar-2016,
SC Pathrai,Total,
SC Pipla,Apr-2015,
SC Pipla,May-2015,
SC Pipla,Jun-2015,
SC Pipla,Jul-2015,
SC Pipla,Aug-2015,
SC Pipla,Sep-2015,
SC Pipla,Oct-2015,
SC Pipla,Nov-2015,
SC Pipla,Dec-2015,
SC Pipla,Jan-2016,
SC Pipla,Feb-2016,
SC Pipla,Mar-2016,
SC Pipla,Total,
SC Pipla (daB),Apr-2015,
SC Pipla (daB),May-2015,
SC Pipla (daB),Jun-2015,
SC Pipla (daB),Jul-2015,
SC Pipla (daB),Aug-2015,
SC Pipla (daB),Sep-2015,
SC Pipla (daB),Oct-2015,
SC Pipla (daB),Nov-2015,
SC Pipla (daB),Dec-2015,
SC Pipla (daB),Jan-2016,
SC Pipla (daB),Feb-2016,
SC Pipla (daB),Mar-2016,
SC Pipla (daB),Total,
SC Pipra,Apr-2015,
SC Pipra,May-2015,
SC Pipra,Jun-2015,
SC Pipra,Jul-2015,
SC Pipra,Aug-2015,
SC Pipra,Sep-2015,
SC Pipra,Oct-2015,
SC Pipra,Nov-2015,
SC Pipra,Dec-2015,
SC Pipra,Jan-2016,
SC Pipra,Feb-2016,
SC Pipra,Mar-2016,
SC Pipra,Total,
SC Pipriya,Apr-2015,
SC Pipriya,May-2015,
SC Pipriya,Jun-2015,
SC Pipriya,Jul-2015,
SC Pipriya,Aug-2015,
SC Pipriya,Sep-2015,
SC Pipriya,Oct-2015,
SC Pipriya,Nov-2015,
SC Pipriya,Dec-2015,
SC Pipriya,Jan-2016,
SC Pipriya,Feb-2016,
SC Pipriya,Mar-2016,
SC Pipriya,Total,
SC Pota Chicholi,Apr-2015,
SC Pota Chicholi,May-2015,
SC Pota Chicholi,Jun-2015,
SC Pota Chicholi,Jul-2015,
SC Pota Chicholi,Aug-2015,
SC Pota Chicholi,Sep-2015,
SC Pota Chicholi,Oct-2015,
SC Pota Chicholi,Nov-2015,
SC Pota Chicholi,Dec-2015,
SC Pota Chicholi,Jan-2016,
SC Pota Chicholi,Feb-2016,
SC Pota Chicholi,Mar-2016,
SC Pota Chicholi,Total,
SC Pusagondi,Apr-2015,
SC Pusagondi,May-2015,
SC Pusagondi,Jun-2015,
SC Pusagondi,Jul-2015,
SC Pusagondi,Aug-2015,
SC Pusagondi,Sep-2015,
SC Pusagondi,Oct-2015,
SC Pusagondi,Nov-2015,
SC Pusagondi,Dec-2015,
SC Pusagondi,Jan-2016,
SC Pusagondi,Feb-2016,
SC Pusagondi,Mar-2016,
SC Pusagondi,Total,
SC RAMTHI,Apr-2015,
SC RAMTHI,May-2015,
SC RAMTHI,Jun-2015,
SC RAMTHI,Jul-2015,
SC RAMTHI,Aug-2015,
SC RAMTHI,Sep-2015,
SC RAMTHI,Oct-2015,
SC RAMTHI,Nov-2015,
SC RAMTHI,Dec-2015,
SC RAMTHI,Jan-2016,
SC RAMTHI,Feb-2016,
SC RAMTHI,Mar-2016,
SC RAMTHI,Total,
SC Rajola,Apr-2015,
SC Rajola,May-2015,
SC Rajola,Jun-2015,
SC Rajola,Jul-2015,
SC Rajola,Aug-2015,
SC Rajola,Sep-2015,
SC Rajola,Oct-2015,
SC Rajola,Nov-2015,
SC Rajola,Dec-2015,
SC Rajola,Jan-2016,
SC Rajola,Feb-2016,
SC Rajola,Mar-2016,
SC Rajola,Total,
SC Rewaral,Apr-2015,
SC Rewaral,May-2015,
SC Rewaral,Jun-2015,
SC Rewaral,Jul-2015,
SC Rewaral,Aug-2015,
SC Rewaral,Sep-2015,
SC Rewaral,Oct-2015,
SC Rewaral,Nov-2015,
SC Rewaral,Dec-2015,
SC Rewaral,Jan-2016,
SC Rewaral,Feb-2016,
SC Rewaral,Mar-2016,
SC Rewaral,Total,
SC Rohna,Apr-2015,
SC Rohna,May-2015,
SC Rohna,Jun-2015,
SC Rohna,Jul-2015,
SC Rohna,Aug-2015,
SC Rohna,Sep-2015,
SC Rohna,Oct-2015,
SC Rohna,Nov-2015,
SC Rohna,Dec-2015,
SC Rohna,Jan-2016,
SC Rohna,Feb-2016,
SC Rohna,Mar-2016,
SC Rohna,Total,
SC Rualgao,Apr-2015,
SC Rualgao,May-2015,
SC Rualgao,Jun-2015,
SC Rualgao,Jul-2015,
SC Rualgao,Aug-2015,
SC Rualgao,Sep-2015,
SC Rualgao,Oct-2015,
SC Rualgao,Nov-2015,
SC Rualgao,Dec-2015,
SC Rualgao,Jan-2016,
SC Rualgao,Feb-2016,
SC Rualgao,Mar-2016,
SC Rualgao,Total,
SC SALAI,Apr-2015,
SC SALAI,May-2015,
SC SALAI,Jun-2015,
SC SALAI,Jul-2015,
SC SALAI,Aug-2015,
SC SALAI,Sep-2015,
SC SALAI,Oct-2015,
SC SALAI,Nov-2015,
SC SALAI,Dec-2015,
SC SALAI,Jan-2016,
SC SALAI,Feb-2016,
SC SALAI,Mar-2016,
SC SALAI,Total,
SC SALEGHAT,Apr-2015,
SC SALEGHAT,May-2015,
SC SALEGHAT,Jun-2015,
SC SALEGHAT,Jul-2015,
SC SALEGHAT,Aug-2015,
SC SALEGHAT,Sep-2015,
SC SALEGHAT,Oct-2015,
SC SALEGHAT,Nov-2015,
SC SALEGHAT,Dec-2015,
SC SALEGHAT,Jan-2016,
SC SALEGHAT,Feb-2016,
SC SALEGHAT,Mar-2016,
SC SALEGHAT,Total,
SC SALESARI,Apr-2015,
SC SALESARI,May-2015,
SC SALESARI,Jun-2015,
SC SALESARI,Jul-2015,
SC SALESARI,Aug-2015,
SC SALESARI,Sep-2015,
SC SALESARI,Oct-2015,
SC SALESARI,Nov-2015,
SC SALESARI,Dec-2015,
SC SALESARI,Jan-2016,
SC SALESARI,Feb-2016,
SC SALESARI,Mar-2016,
SC SALESARI,Total,
SC SATAK,Apr-2015,
SC SATAK,May-2015,
SC SATAK,Jun-2015,
SC SATAK,Jul-2015,
SC SATAK,Aug-2015,
SC SATAK,Sep-2015,
SC SATAK,Oct-2015,
SC SATAK,Nov-2015,
SC SATAK,Dec-2015,
SC SATAK,Jan-2016,
SC SATAK,Feb-2016,
SC SATAK,Mar-2016,
SC SATAK,Total,
SC SHIVAPUR,Apr-2015,
SC SHIVAPUR,May-2015,
SC SHIVAPUR,Jun-2015,
SC SHIVAPUR,Jul-2015,
SC SHIVAPUR,Aug-2015,
SC SHIVAPUR,Sep-2015,
SC SHIVAPUR,Oct-2015,
SC SHIVAPUR,Nov-2015,
SC SHIVAPUR,Dec-2015,
SC SHIVAPUR,Jan-2016,
SC SHIVAPUR,Feb-2016,
SC SHIVAPUR,Mar-2016,
SC SHIVAPUR,Total,
SC SIHORA,Apr-2015,
SC SIHORA,May-2015,
SC SIHORA,Jun-2015,
SC SIHORA,Jul-2015,
SC SIHORA,Aug-2015,
SC SIHORA,Sep-2015,
SC SIHORA,Oct-2015,
SC SIHORA,Nov-2015,
SC SIHORA,Dec-2015,
SC SIHORA,Jan-2016,
SC SIHORA,Feb-2016,
SC SIHORA,Mar-2016,
SC SIHORA,Total,
SC SINGARKHEDA,Apr-2015,
SC SINGARKHEDA,May-2015,
SC SINGARKHEDA,Jun-2015,
SC SINGARKHEDA,Jul-2015,
SC SINGARKHEDA,Aug-2015,
SC SINGARKHEDA,Sep-2015,
SC SINGARKHEDA,Oct-2015,
SC SINGARKHEDA,Nov-2015,
SC SINGARKHEDA,Dec-2015,
SC SINGARKHEDA,Jan-2016,
SC SINGARKHEDA,Feb-2016,
SC SINGARKHEDA,Mar-2016,
SC SINGARKHEDA,Total,
SC Salai Godhni,Apr-2015,
SC Salai Godhni,May-2015,
SC Salai Godhni,Jun-2015,
SC Salai Godhni,Jul-2015,
SC Salai Godhni,Aug-2015,
SC Salai Godhni,Sep-2015,
SC Salai Godhni,Oct-2015,
SC Salai Godhni,Nov-2015,
SC Salai Godhni,Dec-2015,
SC Salai Godhni,Jan-2016,
SC Salai Godhni,Feb-2016,
SC Salai Godhni,Mar-2016,
SC Salai Godhni,Total,
SC Salaidabha,Apr-2015,
SC Salaidabha,May-2015,
SC Salaidabha,Jun-2015,
SC Salaidabha,Jul-2015,
SC Salaidabha,Aug-2015,
SC Salaidabha,Sep-2015,
SC Salaidabha,Oct-2015,
SC Salaidabha,Nov-2015,
SC Salaidabha,Dec-2015,
SC Salaidabha,Jan-2016,
SC Salaidabha,Feb-2016,
SC Salaidabha,Mar-2016,
SC Salaidabha,Total,
SC Salwa,Apr-2015,
SC Salwa,May-2015,
SC Salwa,Jun-2015,
SC Salwa,Jul-2015,
SC Salwa,Aug-2015,
SC Salwa,Sep-2015,
SC Salwa,Oct-2015,
SC Salwa,Nov-2015,
SC Salwa,Dec-2015,
SC Salwa,Jan-2016,
SC Salwa,Feb-2016,
SC Salwa,Mar-2016,
SC Salwa,Total,
SC Sawali Dhapewada,Apr-2015,
SC Sawali Dhapewada,May-2015,
SC Sawali Dhapewada,Jun-2015,
SC Sawali Dhapewada,Jul-2015,
SC Sawali Dhapewada,Aug-2015,
SC Sawali Dhapewada,Sep-2015,
SC Sawali Dhapewada,Oct-2015,
SC Sawali Dhapewada,Nov-2015,
SC Sawali Dhapewada,Dec-2015,
SC Sawali Dhapewada,Jan-2016,
SC Sawali Dhapewada,Feb-2016,
SC Sawali Dhapewada,Mar-2016,
SC Sawali Dhapewada,Total,
SC Sawangi Bela,Apr-2015,
SC Sawangi Bela,May-2015,
SC Sawangi Bela,Jun-2015,
SC Sawangi Bela,Jul-2015,
SC Sawangi Bela,Aug-2015,
SC Sawangi Bela,Sep-2015,
SC Sawangi Bela,Oct-2015,
SC Sawangi Bela,Nov-2015,
SC Sawangi Bela,Dec-2015,
SC Sawangi Bela,Jan-2016,
SC Sawangi Bela,Feb-2016,
SC Sawangi Bela,Mar-2016,
SC Sawangi Bela,Total,
SC Sawarmendha,Apr-2015,
SC Sawarmendha,May-2015,
SC Sawarmendha,Jun-2015,
SC Sawarmendha,Jul-2015,
SC Sawarmendha,Aug-2015,
SC Sawarmendha,Sep-2015,
SC Sawarmendha,Oct-2015,
